date,TiDE+RIN_Forecast
2023-01-01,8.280313
2023-01-02,8.296827
2023-01-03,8.310339
2023-01-04,8.179049
2023-01-05,8.081053
2023-01-06,8.436753
2023-01-07,8.314705
2023-01-08,8.122306
2023-01-09,8.513333
2023-01-10,8.044459
2023-01-11,8.329452
2023-01-12,8.478266
2023-01-13,8.297714
2023-01-14,8.453041
2023-01-15,8.431409
2023-01-16,8.122278
2023-01-17,8.477769
2023-01-18,8.4205265
2023-01-19,8.315991
2023-01-20,8.197165
2023-01-21,8.059708
2023-01-22,8.143979
2023-01-23,8.243216
2023-01-24,8.146209
2023-01-25,8.560431
2023-01-26,8.076491
2023-01-27,8.488947
2023-01-28,8.340451
2023-01-29,8.484009
2023-01-30,8.475813
2023-01-31,8.413634
2023-02-01,8.361168
2023-02-02,8.495147
2023-02-03,8.372871
2023-02-04,8.293505
2023-02-05,8.31811
2023-02-06,8.137042
2023-02-07,8.588164
2023-02-08,8.403017
2023-02-09,8.307921
2023-02-10,8.077506
2023-02-11,8.561715
2023-02-12,8.348794
2023-02-13,8.544739
2023-02-14,8.264261
2023-02-15,8.521136
2023-02-16,8.287694
2023-02-17,8.537449
2023-02-18,8.87591
2023-02-19,8.474638
2023-02-20,8.216732
2023-02-21,8.24958
2023-02-22,8.543251
2023-02-23,8.173943
2023-02-24,8.205176
2023-02-25,8.389564
2023-02-26,8.514571
2023-02-27,8.420124
2023-02-28,8.665741
2023-03-01,8.250161
2023-03-02,8.547729
2023-03-03,8.52477
2023-03-04,8.564666
2023-03-05,8.624168
2023-03-06,8.4973345
2023-03-07,8.91288
2023-03-08,8.627674
2023-03-09,8.525338
2023-03-10,8.1946
2023-03-11,8.390458
2023-03-12,8.231785
2023-03-13,8.262594
2023-03-14,8.3437
2023-03-15,8.692888
2023-03-16,8.294025
2023-03-17,8.644951
2023-03-18,8.33909
2023-03-19,8.739076
2023-03-20,8.718652
2023-03-21,8.484277
2023-03-22,8.139858
2023-03-23,8.86288
2023-03-24,8.733733
2023-03-25,8.941677
2023-03-26,8.956107
2023-03-27,8.900144
2023-03-28,8.84302
2023-03-29,8.654625
2023-03-30,8.73436
2023-03-31,8.785904
2023-04-01,8.398993
2023-04-02,8.668934
2023-04-03,8.439177
2023-04-04,8.459262
2023-04-05,8.52812
2023-04-06,8.881621
2023-04-07,8.6236105
2023-04-08,8.644981
2023-04-09,8.732176
2023-04-10,8.548916
2023-04-11,8.601093
2023-04-12,8.69917
2023-04-13,8.554632
2023-04-14,8.554259
2023-04-15,8.902474
2023-04-16,8.409105
2023-04-17,8.690015
2023-04-18,8.84423
2023-04-19,8.675137
2023-04-20,8.356175
2023-04-21,8.494771
2023-04-22,8.581395
2023-04-23,8.515133
2023-04-24,8.551397
2023-04-25,8.772943
2023-04-26,8.483017
2023-04-27,8.792209
2023-04-28,8.645296
2023-04-29,9.042098
2023-04-30,8.989648
2023-05-01,8.728991
2023-05-02,8.793693
2023-05-03,8.800244
2023-05-04,8.583832
2023-05-05,8.763139
2023-05-06,8.604235
2023-05-07,8.736173
2023-05-08,9.022811
2023-05-09,8.696311
2023-05-10,8.613574
2023-05-11,8.58956
2023-05-12,8.802672
2023-05-13,8.648354
2023-05-14,8.8992195
2023-05-15,8.640938
2023-05-16,8.898157
2023-05-17,8.58769
2023-05-18,8.83121
2023-05-19,9.190938
2023-05-20,8.9668255
2023-05-21,8.846921
2023-05-22,8.594209
2023-05-23,8.85401
2023-05-24,8.696295
2023-05-25,8.586784
2023-05-26,8.98863
2023-05-27,8.865941
2023-05-28,8.487205
2023-05-29,8.879789
2023-05-30,8.659711
2023-05-31,8.795369
2023-06-01,8.554989
2023-06-02,9.030949
2023-06-03,8.982169
2023-06-04,8.790538
2023-06-05,9.03382
2023-06-06,9.018311
2023-06-07,8.6005335
2023-06-08,8.83126
2023-06-09,8.794133
2023-06-10,8.571786
2023-06-11,8.648192
2023-06-12,8.830065
2023-06-13,8.886703
2023-06-14,8.68915
2023-06-15,8.816219
2023-06-16,8.734848
2023-06-17,8.95571
2023-06-18,8.906535
2023-06-19,8.681652
2023-06-20,8.719759
2023-06-21,9.10657
2023-06-22,8.772039
2023-06-23,9.121279
2023-06-24,9.0114765
2023-06-25,8.924395
2023-06-26,9.066953
2023-06-27,8.613278
2023-06-28,8.8480835
2023-06-29,9.020119
2023-06-30,8.733758
2023-07-01,8.849459
2023-07-02,8.731506
2023-07-03,8.723974
2023-07-04,8.642174
2023-07-05,9.0894165
2023-07-06,8.769749
2023-07-07,8.744881
2023-07-08,8.923537
2023-07-09,8.604231
2023-07-10,8.913816
2023-07-11,8.940754
2023-07-12,8.690754
2023-07-13,8.88488
2023-07-14,8.9812975
2023-07-15,8.510692
2023-07-16,8.863087
2023-07-17,8.958555
2023-07-18,8.830348
2023-07-19,8.537761
2023-07-20,8.708607
2023-07-21,8.657863
2023-07-22,8.714162
2023-07-23,8.704941
2023-07-24,9.021085
2023-07-25,8.63268
2023-07-26,8.935135
2023-07-27,8.779554
2023-07-28,9.109564
2023-07-29,8.979673
2023-07-30,9.097589
2023-07-31,9.015851
2023-08-01,9.013399
2023-08-02,8.833054
2023-08-03,8.7725525
2023-08-04,8.666359
2023-08-05,8.788694
2023-08-06,8.931294
2023-08-07,8.740238
2023-08-08,8.752162
2023-08-09,8.65533
2023-08-10,8.773632
2023-08-11,8.770475
2023-08-12,9.020843
2023-08-13,8.723197
2023-08-14,8.832947
2023-08-15,8.673836
2023-08-16,8.892915
2023-08-17,9.17267
2023-08-18,8.869559
2023-08-19,8.6907015
2023-08-20,8.755388
2023-08-21,8.781076
2023-08-22,8.524845
2023-08-23,8.606758
2023-08-24,8.98725
2023-08-25,8.8225155
2023-08-26,8.627894
2023-08-27,9.033727
2023-08-28,8.740706
2023-08-29,8.658044
2023-08-30,8.633553
2023-08-31,8.938444
2023-09-01,8.945356
2023-09-02,8.834601
2023-09-03,9.026262
2023-09-04,9.0415945
2023-09-05,8.688951
2023-09-06,8.653545
2023-09-07,8.538349
2023-09-08,8.475452
2023-09-09,8.617059
2023-09-10,8.712449
2023-09-11,8.990076
2023-09-12,8.590353
2023-09-13,8.79505
2023-09-14,8.477818
2023-09-15,8.8520565
2023-09-16,8.715789
2023-09-17,8.672158
2023-09-18,8.544124
2023-09-19,8.851097
2023-09-20,8.780338
2023-09-21,8.917217
2023-09-22,8.89732
2023-09-23,8.833997
2023-09-24,8.9380455
2023-09-25,8.57187
2023-09-26,8.876336
2023-09-27,8.970391
2023-09-28,8.585818
2023-09-29,8.494941
2023-09-30,8.439682
2023-10-01,8.567905
2023-10-02,8.579578
2023-10-03,9.022091
2023-10-04,8.589037
2023-10-05,8.562277
2023-10-06,8.850848
2023-10-07,8.536847
2023-10-08,8.630783
2023-10-09,8.571425
2023-10-10,8.553413
2023-10-11,8.5465765
2023-10-12,8.775295
2023-10-13,8.443267
2023-10-14,8.582739
2023-10-15,8.671487
2023-10-16,8.582847
2023-10-17,8.214379
2023-10-18,8.308277
2023-10-19,8.336581
2023-10-20,8.356436
2023-10-21,8.451136
2023-10-22,8.558807
2023-10-23,8.323117
2023-10-24,8.601886
2023-10-25,8.411629
2023-10-26,8.8545265
2023-10-27,8.610923
2023-10-28,8.570842
2023-10-29,8.649006
2023-10-30,8.69748
2023-10-31,8.514665
2023-11-01,8.39416
2023-11-02,8.298675
2023-11-03,8.438498
2023-11-04,8.587146
2023-11-05,8.380131
2023-11-06,8.438823
2023-11-07,8.223219
2023-11-08,8.54537
2023-11-09,8.392073
2023-11-10,8.624236
2023-11-11,8.403798
2023-11-12,8.525078
2023-11-13,8.258033
2023-11-14,8.627047
2023-11-15,8.727415
2023-11-16,8.442766
2023-11-17,8.247903
2023-11-18,8.187029
2023-11-19,8.549077
2023-11-20,8.301592
2023-11-21,8.150922
2023-11-22,8.540207
2023-11-23,8.377999
2023-11-24,8.204965
2023-11-25,8.454156
2023-11-26,8.377009
2023-11-27,8.44587
2023-11-28,8.195576
2023-11-29,8.473163
2023-11-30,8.440172
2023-12-01,8.243709
2023-12-02,8.737856
2023-12-03,8.572748
2023-12-04,8.1407995
2023-12-05,8.299168
2023-12-06,8.176168
2023-12-07,8.139751
2023-12-08,8.237551
2023-12-09,8.172339
2023-12-10,8.484723
2023-12-11,8.225714
2023-12-12,8.302842
2023-12-13,8.038121
2023-12-14,8.41099
2023-12-15,8.417067
2023-12-16,8.2468
2023-12-17,8.06728
2023-12-18,8.547843
2023-12-19,8.266133
2023-12-20,8.51345
2023-12-21,8.504637
2023-12-22,8.562725
2023-12-23,8.5696335
2023-12-24,8.3219385
2023-12-25,8.3144455
2023-12-26,8.474658
